VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240708,DBIB,Equity,Delta,0.9,-1.3
20240708,DBIB,Equity,Gamma_Residual,0.4,-0.1
20240708,DBIB,Interest_Rate,Rho,-5.5,5.4
20240708,DBIB,Interest_Rate,Convexity_Residual,-0.1,0.0
20240708,DBIB,Interest_Rate,Basis,0.0,-0.0
20240708,DBIB,Credit,HY_Total,0.2,-0.2
20240708,DBIB,Credit,AGG_Credit,0.3,0.0
20240708,DBIB,Credit,Agg_Risk_Free_Growth,-0.2,0.0
20240708,DBIB,Credit,ILP_Update,0.0,0.0
20240708,DBIB,Fund_Basis_Fund_Mapping,,-1.5,-0.4
20240708,DBIB,Passage_Of_Time,,-0.8,-0.1
20240708,DBIB,Other_Inforce,,0.7,0.0
20240708,DBIB,New_Business,,0.0,0.0
20240708,DBIB,Cross_Impact_True_up,,-0.1,-0.0
